FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON
invoice0.html,product,Enormous Cotton Computer,Enormous Cotton Computer,TP,EXTRACT_MODEL
invoice0.html,product,Lightweight Linen Lamp,Lightweight Linen Lamp,TP,EXTRACT_MODEL
invoice0.html,product,Sleek Leather Chair,Sleek Leather Chair,TP,EXTRACT_MODEL
invoice0.html,product,Awesome Cotton Plate,Awesome Cotton Plate,TP,EXTRACT_MODEL
invoice0.html,product,Sleek Copper Computer,Sleek Copper Computer,TP,EXTRACT_MODEL
invoice0.html,invoice_number,7650961828,7650961828,TP,EXTRACT_MODEL
invoice103.html,product,Mediocre Marble Table,Mediocre Marble Table,TP,EXTRACT_MODEL
invoice103.html,invoice_number,5284060703,5284060703,TP,EXTRACT_MODEL
invoice106.html,product,Rustic Silk Computer,Rustic Silk Computer,TP,EXTRACT_MODEL
invoice106.html,product,Enormous Concrete Watch,Enormous Concrete Watch,TP,EXTRACT_MODEL
invoice106.html,product,Mediocre Rubber Hat,Mediocre Rubber Hat,TP,EXTRACT_MODEL
invoice106.html,product,Ergonomic Granite Gloves,Ergonomic Granite Gloves,TP,EXTRACT_MODEL
invoice106.html,product,Incredible Copper Pants,Incredible Copper Pants,TP,EXTRACT_MODEL
invoice106.html,product,Incredible Marble Bag,Incredible Marble Bag,TP,EXTRACT_MODEL
invoice106.html,product,Fantastic Leather Shirt,Fantastic Leather Shirt,TP,EXTRACT_MODEL
invoice106.html,product,Ergonomic Iron Keyboard,Ergonomic Iron Keyboard,TP,EXTRACT_MODEL
invoice106.html,invoice_number,3908661436,3908661436,TP,EXTRACT_MODEL
invoice107.html,product,Lightweight Granite Car,Lightweight Granite Car,TP,EXTRACT_MODEL
invoice107.html,product,Rustic Wool Shoes,Rustic Wool Shoes,TP,EXTRACT_MODEL
invoice107.html,product,Practical Iron Watch,Practical Iron Watch,TP,EXTRACT_MODEL
invoice107.html,product,Enormous Rubber Plate,Enormous Rubber Plate,TP,EXTRACT_MODEL
invoice107.html,product,Awesome Aluminum Gloves,Awesome Aluminum Gloves,TP,EXTRACT_MODEL
invoice107.html,product,Small Cotton Bench,Small Cotton Bench,TP,EXTRACT_MODEL
invoice107.html,product,Lightweight Wool Knife,Lightweight Wool Knife,TP,EXTRACT_MODEL
invoice107.html,product,Rustic Aluminum Bench,Rustic Aluminum Bench,TP,EXTRACT_MODEL
invoice107.html,product,Aerodynamic Plastic Table,Aerodynamic Plastic Table,TP,EXTRACT_MODEL
invoice107.html,invoice_number,5015657947,5015657947,TP,EXTRACT_MODEL
invoice108.html,product,Awesome Marble Hat,Awesome Marble Hat,TP,EXTRACT_MODEL
invoice108.html,product,Practical Leather Bench,Practical Leather Bench,TP,EXTRACT_MODEL
invoice108.html,product,Gorgeous Copper Bottle,Gorgeous Copper Bottle,TP,EXTRACT_MODEL
invoice108.html,product,Synergistic Silk Bottle,Synergistic Silk Bottle,TP,EXTRACT_MODEL
invoice108.html,product,Lightweight Granite Keyboard,Lightweight Granite Keyboard,TP,EXTRACT_MODEL
invoice108.html,product,Gorgeous Plastic Shoes,Gorgeous Plastic Shoes,TP,EXTRACT_MODEL
invoice108.html,invoice_number,6065016110,6065016110,TP,EXTRACT_MODEL
invoice113.html,product,Awesome Paper Shirt,Awesome Paper Shirt,TP,EXTRACT_MODEL
invoice113.html,product,Heavy Duty Copper Table,Heavy Duty Copper Table,TP,EXTRACT_MODEL
invoice113.html,product,Small Rubber Knife,Small Rubber Knife,TP,EXTRACT_MODEL
invoice113.html,product,Mediocre Concrete Coat,Mediocre Concrete Coat,TP,EXTRACT_MODEL
invoice113.html,product,Enormous Rubber Car,Enormous Rubber Car,TP,EXTRACT_MODEL
