FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON
invoice101.html,total_amount,80790.48 USD,80790.48 USD,TP,EXTRACT_RULES
invoice125.html,total_amount,56496.55 USD,56496.55 USD,TP,EXTRACT_RULES
invoice139.html,total_amount,113052.25 USD,113052.25 USD,TP,EXTRACT_RULES
invoice144.html,total_amount,28789.54 USD,28789.54 USD,TP,EXTRACT_RULES
invoice147.html,total_amount,20646.54 USD,20646.54 USD,TP,EXTRACT_RULES
invoice155.html,total_amount,64790.45 USD,64790.45 USD,TP,EXTRACT_RULES
invoice16.html,total_amount,44597.77 USD,44597.77 USD,TP,EXTRACT_RULES
invoice163.html,total_amount,35486.26 USD,35486.26 USD,TP,EXTRACT_RULES
invoice172.html,total_amount,7786.03 USD,7786.03 USD,TP,EXTRACT_RULES
invoice181.html,total_amount,42338.65 USD,42338.65 USD,TP,EXTRACT_RULES
invoice185.html,total_amount,26928.19 USD,26928.19 USD,TP,EXTRACT_RULES
invoice186.html,total_amount,9163.08 USD,9163.08 USD,TP,EXTRACT_RULES
invoice189.html,total_amount,59015.99 USD,59015.99 USD,TP,EXTRACT_RULES
invoice201.html,total_amount,21742.62 USD,21742.62 USD,TP,EXTRACT_RULES
